participant,image,modality,PID,length,attributives,adverbs,syllables,chars,consciousness_of_projection,self_reference_words,negations,pseudo_quantifiers,positive_allness,prepositions
ppt-38,img-1592394,spoken,0.3,11,0,1,1.7272727272727273,4.818181818181818,0,0,0,0,0,2
ppt-38,img-1592401,spoken,0.4,15,0,1,1.4,4.533333333333333,0,0,0,0,0,3
ppt-38,img-1592499,spoken,0.4444444444444444,9,0,0,1.3333333333333333,4.333333333333333,0,0,0,0,0,2
ppt-38,img-1592567,spoken,0.2857142857142857,8,0,1,1.875,5.75,0,0,0,0,0,1
ppt-38,img-1592620,spoken,0.4444444444444444,10,0,0,1.4,4.4,0,0,0,0,0,2
ppt-38,img-1592656,spoken,0.45454545454545453,11,0,1,1.6363636363636365,5.090909090909091,0,1,0,0,0,1
ppt-38,img-1592747,spoken,0.4166666666666667,12,1,1,1.75,5.833333333333333,0,0,0,0,0,1
ppt-38,img-1592890,spoken,0.35714285714285715,14,1,0,1.3571428571428572,4.214285714285714,0,0,0,0,0,3
ppt-38,img-1593006,spoken,0.5,10,0,1,1.8,5.5,0,0,0,0,1,1
ppt-38,img-1593035,spoken,0.38461538461538464,13,0,1,1.4615384615384615,4.6923076923076925,0,0,0,0,0,3
ppt-38,img-285686,spoken,0.5555555555555556,9,1,0,1.6666666666666667,5.222222222222222,0,0,0,0,0,1
ppt-38,img-285715,spoken,0.4375,16,0,0,1.375,4.25,0,0,0,0,0,2
ppt-38,img-285859,spoken,0.2857142857142857,7,0,0,1.4285714285714286,4.142857142857143,0,0,0,0,0,1
ppt-38,img-285946,spoken,0.4444444444444444,9,0,0,1.3333333333333333,4.777777777777778,0,0,0,0,0,1
ppt-38,img-285949,spoken,0.42857142857142855,14,1,3,1.1428571428571428,3.5,0,0,0,0,0,2
ppt-38,img-285993,spoken,0.46153846153846156,13,1,2,1.3076923076923077,3.923076923076923,0,0,0,0,0,1
ppt-38,img-286001,spoken,0.375,16,0,1,1.3125,4.0625,0,0,0,0,0,2
ppt-38,img-498111,spoken,0.5,10,0,0,1.2,3.6,0,0,0,0,0,3
